Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
1I0,LR00363,19,N
1I0,LR00363,20,O
1I0,LR00363,21,C
1I0,LR00363,22,O
1I0,LR00363,23,N
1I0,LR00363,24,C
1I0,LR00363,25,C
1I0,LR00363,26,N
1I0,LR00363,27,C
1I0,LR00363,28,N
1I0,LR00363,29,C
1I0,LR00363,30,C
1I0,LR00363,31,O
1I0,LR00363,32,C
1I0,LR00363,33,C
1I0,LR00363,34,C
1I0,LR00363,35,C
1I0,LR00363,36,C
1I0,LR00363,37,C
1I0,LR00363,38,C
1I3,LR00364,0,C
1I3,LR00364,1,O
1I3,LR00364,2,C
1I3,LR00364,3,C
1I3,LR00364,4,C
1I3,LR00364,5,C
1I3,LR00364,6,N
1I3,LR00364,7,C
1I3,LR00364,8,C
1I3,LR00364,9,C
1I3,LR00364,10,C
1I3,LR00364,11,N
1I3,LR00364,12,O
1I3,LR00364,13,C
1I3,LR00364,14,O
1I3,LR00364,15,N
1I3,LR00364,16,N
1I3,LR00364,17,C
1I3,LR00364,18,C
1I3,LR00364,19,C
1I3,LR00364,20,N
1I3,LR00364,21,C
1I3,LR00364,22,C
1I3,LR00364,23,Cl
1I3,LR00364,24,C
1I3,LR00364,25,C
1I3,LR00364,26,N
1I3,LR00364,27,C
1I3,LR00364,28,C
1I3,LR00364,29,C
1I3,LR00364,30,C
1I3,LR00364,31,C
1I3,LR00364,32,C
1I3,LR00364,33,C
1I3,LR00364,34,C
1I3,LR00364,35,C
1I9,LR00365,0,C
1I9,LR00365,1,C
1I9,LR00365,2,O
1I9,LR00365,3,C
1I9,LR00365,4,C
1I9,LR00365,5,C
1I9,LR00365,6,C
1I9,LR00365,7,C
1I9,LR00365,8,N
1I9,LR00365,9,C
1I9,LR00365,10,C
1I9,LR00365,11,C
1I9,LR00365,12,C
1I9,LR00365,13,N
1I9,LR00365,14,O
1I9,LR00365,15,C
1I9,LR00365,16,O
1I9,LR00365,17,N
1I9,LR00365,18,N
1I9,LR00365,19,C
1I9,LR00365,20,C
1I9,LR00365,21,C
1I9,LR00365,22,N
1I9,LR00365,23,C
1I9,LR00365,24,C
1I9,LR00365,25,Cl
1I9,LR00365,26,C
1I9,LR00365,27,C
1I9,LR00365,28,N
1I9,LR00365,29,C
1I9,LR00365,30,C
1I9,LR00365,31,C
1I9,LR00365,32,C
1I9,LR00365,33,C
1I9,LR00365,34,C
1I9,LR00365,35,C
1I9,LR00365,36,C
1I9,LR00365,37,C
1MN,LR00289,0,C
1MN,LR00289,1,N
1MN,LR00289,2,C
1MN,LR00289,3,O
1MN,LR00289,4,C
1MN,LR00289,5,C
1MN,LR00289,6,C
1MN,LR00289,7,C
1MN,LR00289,8,C
1MN,LR00289,9,C
1MN,LR00289,10,C
1MN,LR00289,11,C
1MN,LR00289,12,O
1MN,LR00289,13,C
1MN,LR00289,14,C
1MN,LR00289,15,C
1MN,LR00289,16,C
1MN,LR00289,17,C
1MN,LR00289,18,Br
1MN,LR00289,19,C
1MN,LR00289,20,C
1MN,LR00289,21,C
1MN,LR00289,22,C
1MN,LR00289,23,C
1MN,LR00289,24,C
1MN,LR00289,25,C
1MN,LR00289,26,Br
1MN,LR00289,27,C
1MN,LR00289,28,C
1MO,LR00290,0,C
1MO,LR00290,1,N
1MO,LR00290,2,C
1MO,LR00290,3,O
1MO,LR00290,4,C
1MO,LR00290,5,C
1MO,LR00290,6,C
1MO,LR00290,7,C
1MO,LR00290,8,C
1MO,LR00290,9,C
1MO,LR00290,10,C
1MO,LR00290,11,C
1MO,LR00290,12,O
1MO,LR00290,13,C
1MO,LR00290,14,C
1MO,LR00290,15,C
1MO,LR00290,16,C
1MO,LR00290,17,C
1MO,LR00290,18,Cl
1MO,LR00290,19,C
1MO,LR00290,20,C
1MO,LR00290,21,C
1MO,LR00290,22,C
1MO,LR00290,23,C
1MO,LR00290,24,C
1MO,LR00290,25,C
1MO,LR00290,26,Cl
1MO,LR00290,27,C
1MO,LR00290,28,C
1MQ,LR00291,0,C
1MQ,LR00291,1,C
1MQ,LR00291,2,C
1MQ,LR00291,3,C
1MQ,LR00291,4,C
1MQ,LR00291,5,O
1MQ,LR00291,6,O
1MQ,LR00291,7,N
1MQ,LR00291,8,C
1MQ,LR00291,9,O
1MQ,LR00291,10,C
1MQ,LR00291,11,C
1MQ,LR00291,12,C
1MQ,LR00291,13,C
1MQ,LR00291,14,C
1MQ,LR00291,15,C
1MQ,LR00291,16,F
1MQ,LR00291,17,C
1MQ,LR00291,18,C
1MQ,LR00291,19,O
1MQ,LR00291,20,C
1MQ,LR00291,21,C
1MQ,LR00291,22,C
1MQ,LR00291,23,C
1MQ,LR00291,24,C
1MQ,LR00291,25,Cl
1MQ,LR00291,26,C
1MQ,LR00291,27,C
1MQ,LR00291,28,C
1MQ,LR00291,29,C
1MQ,LR00291,30,C
1MQ,LR00291,31,C
1MQ,LR00291,32,C
1MQ,LR00291,33,Cl
1MQ,LR00291,34,C
1MQ,LR00291,35,C
1MT,LR00292,0,C
1MT,LR00292,1,C
1MT,LR00292,2,C
1MT,LR00292,3,C
1MT,LR00292,4,C
1MT,LR00292,5,C
1MT,LR00292,6,N
1MT,LR00292,7,C
1MT,LR00292,8,C
1MT,LR00292,9,O
1MT,LR00292,10,N
1MT,LR00292,11,C
1MT,LR00292,12,C
1MT,LR00292,13,N
1MT,LR00292,14,C
1MT,LR00292,15,C
1MT,LR00292,16,C
1MT,LR00292,17,C
1MT,LR00292,18,C
1MT,LR00292,19,C
1MT,LR00292,20,Cl
1MT,LR00292,21,C
1MT,LR00292,22,F
1MT,LR00292,23,C
1MT,LR00292,24,C
1MT,LR00292,25,O
1MT,LR00292,26,N
1MT,LR00292,27,C
1MT,LR00292,28,C
1MT,LR00292,29,C
1MT,LR00292,30,Cl
1MT,LR00292,31,C
