SMILES,RECRUITER_CODE
OC(O)CN1C(O)C2CCCCC2[C@@H]1O,LR00156
OC(O)CN1C(O)C2CC(C(O)O)CCC2[C@@H]1O,LR00157
OC(O)COC1CCCC(CNC(O)NC2NNC(C3CCCO3)O2)C1,LR00158
OC(O)COC1CCCC(CNC(O)NC2NNC(C3CCCO3)O2)C1,LR00159
CC1(C)CC[C@]2(C(O)O)CC[C@]3(C)[C@H](C(O)CC4[C@@]5(C)CC(CN)C(O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,LR00160
OC(O)[C@@H]1CCCC[C@H]1C(O)N1CCC2CCCCC2[C@H]1CN1C(O)C2CCCCC2C1O,LR00161
CC1CCC(S(O)(O)C2CNC(SCC(O)N[C@H]3CCCCC3C(F)(F)F)NC2O)C(C)C1,LR00162
CC1CCC(S(O)(O)C2CNC(SCC(O)N[C@H]3CCCCC3C(F)(F)F)NC2O)C(C)C1,LR00163
COC1CCC(S(O)(O)N[C@H]2CC[C@@H](NS(O)(O)C3CCC(OC)CC3)C3CCCCC32)CC1,LR00164
OC1C2CCCCC2C(O)N1C[C@@H]1C2CCCCC2CCN1C(O)[C@@H]1CCCC[C@@H]1C1NNNN1,LR00165
CC1CCCC2C1CCN(C(O)[C@@H]1CCCC[C@@H]1C(O)O)[C@@H]2CN1CC2CCCCC2C1O,LR00166
OC(O)[C@H]1CCCC[C@H]1C(O)N1CCC2CCCCC2[C@H]1CN1CC2CCCCC2C1O,LR00167
COC1CCC(S(O)(O)N(CC(N)O)C2CCC(N(CC(N)O)S(O)(O)C3CCC(OC)CC3)C3CCCCC32)CC1,LR00168
CCOC1CCC(S(O)(O)N[C@H]2[C@H](C[C@H](C)O)C[C@@H](NS(O)(O)C3CCC(OCC)CC3)C3CCCC[C@@H]32)CC1,LR00169
CC1CC(C)C(C)C(S(O)(O)NC2CCC(N3CC[C@H](C(O)O)C3)C3CCCCC23)C1C,LR00170
COC1NC(C)NC2C1CC[C@H]1[C@H](C)C(O)C(CN)C[C@]21C,LR00171
C[C@@H]1C(O)C(CN)C[C@]2(C)C3NN(C)C(C4CCCNC4)C3CC[C@@H]12,LR00172
[O-]C(O)CCC1CCC(Cl)CC1,LR00173
CN1NNC2CC([C@@H](CC([O-])O)C3CCC(Cl)CC3)CCC21,LR00174
CN1NNC2CC([C@@H](CC([O-])O)C3CCC(Cl)C(CN(C)S(C)(O)O)C3)CCC21,LR00175
CN1NNC2CC([C@@H](CC([O-])O)C3CCC(Cl)C(CN(C)S(O)(O)C4CCCCC4)C3)CCC21,LR00176
COC1CC([C@@H](CC([O-])O)C2CCC(C)C(CN3C[C@@H](C)OC4CCCCC4S3(O)O)C2)CC2NNN(C)C21,LR00177
CC1CC2OC(C)NC2C(O)O1,LR00178
NS(O)(O)C1CCCCC1,LR00179
CC(O)O[C@H]1C[C@H](O)[C@]2(C)[C@@H]1[C@H](C)C[C@@H]1OC(O)[C@H](C)[C@H]1[C@@H]2OC(C)O,LR00180
CC(O)NC1CCC([C@H]2CCNO2)CC1,LR00181
COC1CCC(S(O)(O)N(CC([O-])O)[C@H]2CC[C@@H](N(CC([O-])O)S(O)(O)C3CCC(OC)CC3)C(OCC3CCCCC3)C2)CC1,LR00182
[O-]C(O)C[C@@H](C1CCC(Cl)CC1)C1CCNC(O)C1,LR00183
CN1NNC2CC([C@H](CC([O-])O)C3CCC(Cl)CC3)CCC21,LR00184
CN1NNC2CC([C@H](CC([O-])O)C3CCC(Cl)CC3)CCC21,LR00185
CC1CC([C@H](CC([O-])O)C2CCC3C(C2)NNN3C)CCC1Cl,LR00186
COC1CC([C@@H](CC([O-])O)C2CCC(C)C(CN(C)S(O)(O)C3CCCCC3)C2)CC2NNN(C)C21,LR00187
COC1CC([C@@H](CC([O-])O)C2CCC(C)C(CN3CCOC4CCCCC4S3(O)O)C2)CC2NNN(C)C21,LR00188
OCCOC1CCCC2C1CCN(C(O)[C@@H]1CCCC[C@@H]1C(O)O)[C@@H]2CN1C(O)C2CCCCC2C1O,LR00189
NC(O)[C@H]1CC[C@H]1C(O)N1CCC2C(OCCO)CCCC2[C@H]1CN1C(O)C2CCCCC2C1O,LR00190
CCN1NN[C@H]2C(C)C([C@@H](CC(O)O)C3CC(C)[C@H]4CCN([C@H](O)C5CCCCC5)CC4C3)CC[C@@H]21,LR00191
CCN1NN[C@H]2C(C)C([C@@H](CC(O)O)C3CC(C)[C@H]4CCN([C@H](O)C5CCCCC5)CC4C3)CC[C@@H]21,LR00192
CCN1NNC2C(C)C([C@@H](CC(O)O)C3CCC4CCN([C@H](O)C5CCCCC5)CC4C3)CCC21,LR00193
COC1CCC(S(O)(O)N(CC(O)O)C2NC[C@H](N(CC(F)(F)F)S(O)(O)C3CCC(OC)CC3)C3CCCC[C@@H]32)CC1,LR00194
COC1CCC(S(O)(O)N[C@@H]2CC[C@@H](N(CC(O)O)S(O)(O)C3CCC(OC)CC3)C3CCCCC32)CC1,LR00195
CC(O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCCCC2CSC[C@H](C(O)N(C)C)NC1O,LR00196
OC(O)[C@H]1CNN(C2CCCCC2)[C@@H]1C1CC1,LR00197
OC(O)C1CNN(C2CCC[C@@H](NS(O)(O)C3CCCCC3)C2)C1C1CC1,LR00198
CCCC[C@H]1CCCN1[C@@H](O)[C@H]1CCC[C@@H](C2CCCC(N3NCC(C(O)O)C3C3CC3)C2)C1,LR00199
CC1CC(C)C(C)C(S(O)(O)NC2CCC[C@H](N3NCC(C(O)O)[C@H]3C3CC3)C2)C1C,LR00200
OC(O)CN([C@H]1CCC[C@H](N2NC[C@H](C(O)O)[C@H]2C2CC2)C1)S(O)(O)C1CCCCC1,LR00201
CCCC1CCC(S(O)(O)NC2CCCC(N3NCC(C(O)O)C3C3CC3)C2)CC1,LR00202
OS(O)(NC1CCC[C@H](N2NC[C@H](C3NNNN3)[C@H]2C2CC2)C1)C1CCCCC1,LR00203
CC1CC(C)C(C)C(S(O)(O)N(CC(O)O)C2CCCC(N3NCC(C(O)O)[C@H]3C3CC3)C2)C1C,LR00204
CCCCC1CCC(S(O)(O)N(CC(O)O)[C@H]2CCC[C@@H](N3NCC(C(O)O)[C@@H]3C3CC3)C2)CC1,LR00205
OC(O)CN([C@H]1CCC[C@@H](N2NCC(C(O)O)[C@@H]2[C@H]2C[C@@H]2C2CCCCC2)C1)S(O)(O)C1CCCCC1,LR00206
COC1CCC[C@@H](S(O)(O)N(CC(O)O)C2CCC[C@H](N3NC[C@H](C(O)O)[C@H]3C3CC3)C2)C1,LR00207
COC1CCC[C@@H](S(O)(O)N(CC(O)O)[C@H]2CCCC(N3NCC(C(O)O)C3[C@H]3C[C@@H]3C3CCCCC3)C2)C1,LR00208
OC(O)[C@@](O)(C1CCCCC1)C1CCCC1,LR00209
NC[C@H]1OCCC2SCCC21,LR00210
OC(O)C1CC(F)C(Cl)NC1Cl,LR00211
CCN(CC)C(O)C1CCCC2C(O)C3CCCCC3C21,LR00212
CN(C)C(O)C1CCCC2C(O)C3CCCCC3C21,LR00213
OC(O)CNC(O)C1CCCC2C(O)C3CCCCC3C12,LR00214
OC(N[C@@H](C(O)O)C1CCCCC1)C1CCCC2C(O)C3CCCCC3C12,LR00215
CC(C)OC1CCCC(C2CCCC(N3NCC(C([O-])O)C3C(F)(F)F)N2)C1,LR00216
CN(C)C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3C(F)(F)F)N2)C1,LR00217
CN(C)C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3C3CC3)C2)C1,LR00218
CN1CC([C@@H]2C[C@H]2C2C(C([O-])O)CNN2C2CCCC(C3CCCC(C(O)N(C)C)C3)C2)NN1,LR00219
CCC[C@@H]1CCCCN1C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3C3CC3)C2)C1F,LR00220
CCCC[C@@H]1CCCN1C(O)[C@H]1CCC[C@@H](C2CCCC(N3NCC(C([O-])O)C3C3CC3)C2)C1,LR00221
CCC[C@@H]1CCCCN1C(O)C1CCCC(C2CCCC(N3NCC(C([O-])O)C3[C@@H]3C[C@H]3C3CN(C)NN3)C2)C1,LR00222
CC(O)N1CCC[C@H]1[C@@H](O)N[C@@H]1CO[C@@H](O)[C@H]2CCCCC2C[S@H](O)C[C@H](C(O)N(C)C)NC1O,LR00223
CNC(O)CC[C@H](O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCCC[C@H]2CSC[C@H]([C@@H](O)N(C)C)NC1O,LR00224
CC(O)N1CCC[C@H]1C(O)N[C@@H]1CO[C@@H](O)C2CCCC(C3CCCC4NONC43)C2CSC[C@H](C(O)N(C)C)NC1O,LR00225
CC(O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCCC(C3CCCC(C(O)O)C3)C2CSC[C@H](C(O)N(C)C)N[C@H]1O,LR00226
CC(O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCC[C@H](C3CCC(C(O)O)CC3)C2CSC[C@H](C(O)N(C)C)NC1O,LR00227
COC1CCC(S(O)(O)N(CC(N)O)C2CC[C@@H](N(C[C@H](N)O)S(O)(O)C3CCC(N)CC3)C3CCCCC32)CC1,LR00228
CC1CCC2CC1[C@@H](C)N1C[C@@H]3C[C@@H](CCC3OS1(O)O)OCCOCCN1NN[C@@H]3[C@H]1CCC([C@H]2CC(O)O)[C@@H]3C,LR00230
CC1CCC([C@H](CC(O)O)NC(O)CC2CCC3CCCCC3C2)CC1,LR00231
CC1CCC([C@@H](NC(O)CC2CCC3CCCCC3C2)[C@@H](C)C(O)O)CC1,LR00232
CC1CCC([C@@H](NC(O)[C@@H](F)C2CCC3CCCCC3C2)[C@@H](C)C(O)O)CC1,LR00233
C[C@@H]1CCC([C@@H](NC(O)[C@@H](F)C2CCC(Cl)CC2)[C@@H](C)C(O)O)C[C@H]1OCC(C)(C)CN,LR00234
CCOC1CCCNC1CC1CCC([C@H](F)C(O)N[C@H](C2CCC(C)CC2)[C@@H](C)C(O)O)CC1,LR00235
CC[C@@H](O)N1CCOC[C@H]1[C@H]1CC(Cl)CC(C2NCNC(N)N2)C1,LR00236
C[C@@H]1C(O)N(C)CCN1[C@H]1SCNC1S(O)(O)C1CCCCC1Cl,LR00237
