SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
CC1CC(CNC(O)[C@@H]2C[C@@H](O)CN2[C@H](O)CC(C)(C)C)CCC1C1CNCS1,LR00508,,,,,,,,,,,,,,,,,,,
CC1CC(CNC(O)[C@H](CC2CCC(O[PH]([O-])([O-])O)CC2)NC(O)CC2CCC(F)CC2)CCC1F,LR00382,,,,,,,,,,,,,,,,,,,
CC1CC(C[C@@H](O)N2C[C@H](O)C[C@H]2C(O)NCC2CCC(C3CNCO3)CC2)ON1,LR00495,,,,,,,,,,,,,,,,,,,
CC1CC(N)CCC1[C@H](O)N[C@H]1CC[C@H](O)NC1O,LR00068,,,,,,,,,,,,,,,,,,,
CC1CC(N2CCNCC2)NC(C)N1,LR00426,,,,,,,,,,,,,,,,,,,
CC1CC(S(O)(O)C2CC3(CCN(CC4CCN([C@@H]5CCC6C(C5F)N(C)C(O)N6[C@@H]5CCC(O)NC5O)CC4)CC3)C2)CCC1NC1NCC2CCC(O)N(C3CCCC3)C2N1,LR00089,,,,,,,,,,,,,,,,,,,
CC1CC(S(O)(O)NC2CCC(Cl)C3C(Cl)CNC23)OC1C(O)N(C)C,LR00149,,,,,,,,,,,,,,,,,,,
CC1CC([C@@H](C(C)C)C(O)N2C[C@H](O)C[C@H]2C(O)NOC2CCC(C3SCNC3C)CC2)ON1,LR00534,,,,,,,,,,,,,,,,,,,
CC1CC([C@H](CC([O-])O)C2CCC3C(C2)NNN3C)CCC1Cl,LR00186,,,,,,,,,,,,,,,,,,,
CC1CC2OC(C)NC2C(O)O1,LR00178,,,,,,,,,,,,,,,,,,,
CC1CC2OCOC2CC1[C@@H](CC(O)O)[C@@H]1CCC2CCC(OCC(O)NC3CCCCCC3)CC2C1,LR00244,,,,,,,,,,,,,,,,,,,
CC1CCC(NC(O)NCC2CCC3C(C2)CN([C@H]2CCC(O)N[C@H]2O)[C@@H]3O)CC1Cl,LR00021,LR00111,,,,,,,,,,,,,,,,,,
CC1CCC(NS(O)(O)C2CCC(CN)CC2)C2NCC(CN)C12,LR00148,,,,,,,,,,,,,,,,,,,
CC1CCC(NS(O)(O)C2CCCC(CN)C2)C2NCC(CN)C12,LR00142,LR00143,,,,,,,,,,,,,,,,,,
CC1CCC(S(O)(O)C2CNC(SCC(O)N[C@H]3CCCCC3C(F)(F)F)NC2O)C(C)C1,LR00162,LR00163,,,,,,,,,,,,,,,,,,
CC1CCC([C@@H](NC(O)CC2CCC3CCCCC3C2)[C@@H](C)C(O)O)CC1,LR00232,,,,,,,,,,,,,,,,,,,
CC1CCC([C@@H](NC(O)[C@@H](F)C2CCC3CCCCC3C2)[C@@H](C)C(O)O)CC1,LR00233,,,,,,,,,,,,,,,,,,,
CC1CCC([C@H](CC(O)O)NC(O)CC2CCC3CCCCC3C2)CC1,LR00231,,,,,,,,,,,,,,,,,,,
CC1CCC2CC1[C@@H](C)N1C[C@@H]3C[C@@H](CCC3OS1(O)O)OCCOCCN1NN[C@@H]3[C@H]1CCC([C@H]2CC(O)O)[C@@H]3C,LR00230,,,,,,,,,,,,,,,,,,,
CC1CCCC(C(O)N2CCC(C(N)O)CC2)C1,LR00412,,,,,,,,,,,,,,,,,,,
CC1CCCC([C@@H](O)NCC(O)O)C1,LR00447,,,,,,,,,,,,,,,,,,,
CC1CCCC2C1CCN(C(O)[C@@H]1CCCC[C@@H]1C(O)O)[C@@H]2CN1CC2CCCCC2C1O,LR00166,,,,,,,,,,,,,,,,,,,
CC1CCC[C@@H]([C@@H]2N[C@@H](C(O)O)[C@H]([C@@H]3CCCC(Cl)C3)N2C2CC(Cl)CCC2C)C1,LR00309,,,,,,,,,,,,,,,,,,,
CC1CC[C@H](NC(O)CC[C@H]2CCCC(NC3CC(O)N([C@H]4CCC(O)N[C@H]4O)C3O)C2)CC1Cl,LR00046,LR00096,,,,,,,,,,,,,,,,,,
