Ligase,Unified_Scaffold_ID,Recruiter_Count,Ligase_Local_Scaffold_Count,Scaffold_ID_Group,Recruiter_Code_Group,Total_Recruiters_For_Ligase,Supercluster_Density_For_Ligase
MDM2,LR-SCAF00342,1,1,MDM2_SCAF_9,LR00270,116,0.008620689655172414
MDM2,LR-SCAF00369,1,1,MDM2_SCAF_40,LR00315,116,0.008620689655172414
MDM2,LR-SCAF00370,1,1,MDM2_SCAF_36,LR00310,116,0.008620689655172414
MDMX,LR-SCAF00166,3,1,MDMX_SCAF_2,LR00375;LR00376;LR00377,4,0.75
MDMX,LR-SCAF00169,1,1,MDMX_SCAF_1,LR00374,4,0.25
Parkin,LR-SCAF00298,1,1,Parkin_SCAF_1,LR00378,1,1.0
RNF146,LR-SCAF00348,2,1,RNF146_SCAF_1,LR00379;LR00380,2,1.0
SOCS2,LR-SCAF00232,6,1,SOCS2_SCAF_1,LR00381;LR00382;LR00383;LR00384;LR00385;LR00386,6,1.0
TRIM21,LR-SCAF00231,12,1,TRIM21_SCAF_2,LR00388;LR00414;LR00418;LR00420;LR00430;LR00438;LR00447;LR00448;LR00455;LR00474;LR00478;LR00482,106,0.11320754716981132
TRIM21,LR-SCAF00219,6,1,TRIM21_SCAF_19,LR00408;LR00410;LR00437;LR00475;LR00477;LR00483,106,0.05660377358490566
TRIM21,LR-SCAF00220,4,1,TRIM21_SCAF_24,LR00415;LR00422;LR00431;LR00484,106,0.03773584905660377
TRIM21,LR-SCAF00345,3,1,TRIM21_SCAF_27,LR00419;LR00424;LR00425,106,0.02830188679245283
TRIM21,LR-SCAF00115,2,1,TRIM21_SCAF_76,LR00489;LR00491,106,0.018867924528301886
TRIM21,LR-SCAF00245,2,1,TRIM21_SCAF_16,LR00403;LR00404,106,0.018867924528301886
TRIM21,LR-SCAF00302,2,1,TRIM21_SCAF_49,LR00451;LR00452,106,0.018867924528301886
TRIM21,LR-SCAF00303,2,1,TRIM21_SCAF_17,LR00405;LR00406,106,0.018867924528301886
TRIM21,LR-SCAF00325,2,1,TRIM21_SCAF_6,LR00392;LR00454,106,0.018867924528301886
TRIM21,LR-SCAF00347,2,1,TRIM21_SCAF_35,LR00433;LR00481,106,0.018867924528301886
TRIM21,LR-SCAF00359,2,1,TRIM21_SCAF_14,LR00400;LR00401,106,0.018867924528301886
TRIM21,LR-SCAF00001,1,1,TRIM21_SCAF_43,LR00443,106,0.009433962264150943
TRIM21,LR-SCAF00008,1,1,TRIM21_SCAF_39,LR00439,106,0.009433962264150943
