RECRUITER_CODE,MasterRecruiter,Ligand
LR00230,LR00230,L5F
LR00177,LR00177,L6I
LR00495,LR00495,L8B
LR00318,LR00318,LAY
LR00478,LR00478,LL0
LR00189,LR00189,LQ8
LR00120,LR00120,LQH
LR00121,LR00120,LQH
LR00122,LR00120,LQH
LR00123,LR00120,LQH
LR00124,LR00120,LQH
LR00190,LR00190,LQK
LR00471,LR00471,LQP
LR00276,LR00276,LTZ
LR00420,LR00420,LV4
LR00007,LR00007,LVY
LR00009,LR00007,LVY
LR00014,LR00007,LVY
LR00020,LR00007,LVY
LR00079,LR00007,LVY
LR00097,LR00007,LVY
LR00052,LR00052,LWK
LR00061,LR00052,LWK
LR00367,LR00367,M0L
LR00270,LR00270,MI6
LR00082,LR00082,MIQ
LR00083,LR00082,MIQ
LR00053,LR00053,MW6
LR00118,LR00118,N6O
LR00054,LR00054,N8F
LR00470,LR00470,NTV
LR00461,LR00461,NUA
LR00281,LR00281,NUT
LR00282,LR00281,NUT
LR00320,LR00281,NUT
LR00335,LR00281,NUT
LR00336,LR00281,NUT
LR00359,LR00281,NUT
LR00360,LR00281,NUT
LR00361,LR00281,NUT
LR00370,LR00281,NUT
LR00371,LR00281,NUT
LR00375,LR00281,NUT
LR00376,LR00281,NUT
LR00377,LR00281,NUT
LR00468,LR00468,NUY
LR00412,LR00412,NZJ
LR00482,LR00482,O1J
LR00431,LR00431,O1M
LR00459,LR00459,O3D
LR00142,LR00142,O6M
LR00143,LR00142,O6M
LR00352,LR00352,O9E
LR00319,LR00319,P07
LR00144,LR00144,P7M
LR00193,LR00193,PKG
LR00264,LR00264,PM3
LR00485,LR00485,PMZ
LR00443,LR00443,Q49
LR00415,LR00415,Q4L
LR00148,LR00148,Q5J
LR00194,LR00194,Q5V
LR00195,LR00195,Q5Y
LR00196,LR00196,Q9E
LR00503,LR00503,QD0
LR00530,LR00530,QE0
LR00532,LR00532,QE9
LR00531,LR00531,QF3
LR00529,LR00529,QF7
LR00055,LR00055,QFC
LR00056,LR00055,QFC
LR00057,LR00055,QFC
LR00058,LR00055,QFC
LR00077,LR00055,QFC
LR00080,LR00055,QFC
LR00534,LR00534,QFF
LR00533,LR00533,QFR
LR00198,LR00198,QGZ
LR00206,LR00206,QH2
LR00203,LR00203,QH5
LR00205,LR00205,QH8
LR00199,LR00199,QHH
LR00201,LR00201,QHK
LR00197,LR00197,QHN
LR00207,LR00207,QHQ
LR00200,LR00200,QHT
LR00204,LR00204,QHW
LR00208,LR00208,QHZ
LR00202,LR00202,QJ5
LR00539,LR00539,REI
LR00548,LR00539,REI
LR00046,LR00046,RN9
LR00096,LR00046,RN9
LR00467,LR00467,RV4
LR00464,LR00464,RWS
LR00423,LR00423,RXS
LR00424,LR00424,RZJ
LR00425,LR00424,RZJ
LR00405,LR00405,S0V
LR00406,LR00405,S0V
LR00173,LR00173,S0W
LR00439,LR00439,S7G
LR00388,LR00388,S9S
LR00429,LR00429,SFY
LR00231,LR00231,SGO
LR00232,LR00232,SIU
LR00561,LR00561,SMK
LR00591,LR00561,SMK
LR00160,LR00160,SXJ
LR00233,LR00233,T6I
LR00435,LR00435,T6J
LR00455,LR00455,T9Q
LR00501,LR00501,TG0
LR00271,LR00271,TJ2
LR00496,LR00496,TR0
LR00395,LR00395,TU6
LR00355,LR00355,TUW
LR00353,LR00353,TUZ
LR00354,LR00354,TV5
LR00456,LR00456,TV9
LR00356,LR00356,TVH
LR00357,LR00357,TVK
LR00171,LR00171,TX6
LR00390,LR00390,U0S
LR00438,LR00438,U2R
LR00084,LR00084,U3I
LR00358,LR00358,U3Z
LR00500,LR00500,UCK
LR00396,LR00396,UUP
LR00418,LR00418,UVA
LR00389,LR00389,UWS
LR00409,LR00409,UXA
LR00479,LR00479,UXD
LR00391,LR00391,UXG
LR00379,LR00379,V3L
LR00380,LR00379,V3L
LR00043,LR00043,V4M
LR00499,LR00499,V6F
LR00210,LR00210,VBK
LR00214,LR00214,VBQ
LR00211,LR00211,VBT
LR00215,LR00215,VCB
LR00212,LR00212,VCN
LR00209,LR00209,VCQ
LR00213,LR00213,VCT
LR00535,LR00535,VFO
LR00537,LR00537,VH3
LR00540,LR00540,VHL
LR00549,LR00540,VHL
LR00541,LR00541,VL6
LR00130,LR00130,VLW
LR00128,LR00128,VM3
LR00129,LR00128,VM3
LR00126,LR00126,VM8
