Ligase,Scaffold_ID,Original_Scaffold_ID,RECRUITER_CODE,Scaffold_SMILES,Scaffold_Hash
DCAF1,LR-SCAF00025,DCAF1_SCAF_7,LR00129,C1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,0dad107d
DCAF1,LR-SCAF00339,DCAF1_SCAF_8,LR00130,C1CCC(C2(C3C[C@@H]4CC(N5CCNCC5)CCC4[C@@H]4NCCN34)CC2)CC1,e41f6f1c
DCAF1,LR-SCAF00145,DCAF1_SCAF_9,LR00131,C1CCC(C2(C3NCC4CCC(N5CCNCC5)CC4N3)CC2)CC1,663967fd
DCAF1,LR-SCAF00257,DCAF1_SCAF_10,LR00132,C1CCC(C2([C@@H]3NCC4CCC(N5CCNCC5)CC4N3)CCCC2)CC1,ab5e5c84
DCAF1,LR-SCAF00257,DCAF1_SCAF_10,LR00133,C1CCC(C2([C@@H]3NCC4CCC(N5CCNCC5)CC4N3)CCCC2)CC1,ab5e5c84
DCAF1,LR-SCAF00225,DCAF1_SCAF_11,LR00134,C1CCC(C2([C@@H]3NC[C@@H]4CC[C@@H](N5CCNCC5)C[C@H]4N3)CCCCC2)CC1,93b39f15
DCAF1,LR-SCAF00225,DCAF1_SCAF_11,LR00135,C1CCC(C2([C@@H]3NC[C@@H]4CC[C@@H](N5CCNCC5)C[C@H]4N3)CCCCC2)CC1,93b39f15
DCAF1,LR-SCAF00273,DCAF1_SCAF_12,LR00136,C1CCC(CNCC2CNCC2C2CCCCC2)CC1,b613b9e0
DCAF1,LR-SCAF00209,DCAF1_SCAF_13,LR00137,C1CCC(CNCC2CN[C@H](C3CNNC3)[C@@H]2C2CCCCC2)CC1,8d22e845
DCAF1,LR-SCAF00256,DCAF1_SCAF_14,LR00138,C1CCC(CNC[C@@H]2CNC[C@@H]2C2CCCCC2)CC1,aa4c7f11
DCAF1,LR-SCAF00108,DCAF1_SCAF_15,LR00139,C1CCC(CNCC2CNC(CCCN3CCCCC3)C2C2CCCCC2)CC1,4c5b1339
DCAF1,LR-SCAF00011,DCAF1_SCAF_16,LR00140,C1CCC(CNC[C@@H]2CNCC2C2CCCCC2)CC1,071ba927
DCAF1,LR-SCAF00250,DCAF1_SCAF_17,LR00141,C1CCC(CNC[C@@H]2CN[C@@H](C3CNN(CC[NH+]4CCOCC4)C3)[C@@H]2C2CCCCC2)CC1,a4c5b1f7
DCAF15,LR-SCAF00215,DCAF15_SCAF_1,LR00142,C1CCC(SNC2CCCC3CCNC32)CC1,8fda97d5
DCAF15,LR-SCAF00215,DCAF15_SCAF_1,LR00143,C1CCC(SNC2CCCC3CCNC32)CC1,8fda97d5
DCAF15,LR-SCAF00329,DCAF15_SCAF_2,LR00144,C1CCC(CNS[C@@H]2CCCS2)CC1,e142496b
DCAF15,LR-SCAF00215,DCAF15_SCAF_1,LR00145,C1CCC(SNC2CCCC3CCNC32)CC1,8fda97d5
DCAF15,LR-SCAF00215,DCAF15_SCAF_1,LR00146,C1CCC(SNC2CCCC3CCNC32)CC1,8fda97d5
DCAF15,LR-SCAF00215,DCAF15_SCAF_1,LR00147,C1CCC(SNC2CCCC3CCNC32)CC1,8fda97d5
DCAF15,LR-SCAF00215,DCAF15_SCAF_1,LR00148,C1CCC(SNC2CCCC3CCNC32)CC1,8fda97d5
